ATADS : Airport Operations : Standard Report,,,,,,,,,,
,,,,,,,,,,
"From 1/1/2019 To 2/28/2022 | Facility=SEA, PAE, MWH",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Facility,Itin Carrier,Itin Taxi,Itin GA,Itin Military,Itin Total,Lcl-Civil,Lcl-Miltary,Lcl Total,Total Ops
2019-01-01,MWH,0,2,8,0,10,8,0,8,18
2019-01-01,PAE,2,1,176,0,179,229,0,229,408
2019-01-01,SEA,1094,3,3,0,1100,0,0,0,1100
2019-01-02,MWH,2,4,17,38,61,14,62,76,137
2019-01-02,PAE,10,0,96,0,106,104,0,104,210
2019-01-02,SEA,1213,14,6,0,1233,0,0,0,1233
2019-01-03,MWH,0,7,8,29,44,14,40,54,98
2019-01-03,PAE,3,4,7,0,14,0,0,0,14
2019-01-03,SEA,1189,11,0,0,1200,0,0,0,1200
2019-01-04,MWH,20,7,19,32,78,40,74,114,192
2019-01-04,PAE,3,5,49,0,57,56,0,56,113
2019-01-04,SEA,1188,10,4,0,1202,0,0,0,1202
2019-01-05,MWH,9,0,9,0,18,8,0,8,26
2019-01-05,PAE,2,1,228,0,231,177,0,177,408
2019-01-05,SEA,1088,5,7,0,1100,0,0,0,1100
2019-01-06,MWH,10,2,18,0,30,22,0,22,52
2019-01-06,PAE,1,1,43,0,45,26,0,26,71
2019-01-06,SEA,1091,3,4,0,1098,0,0,0,1098
2019-01-07,MWH,12,57,25,30,124,154,10,164,288
2019-01-07,PAE,3,2,128,9,142,210,0,210,352
2019-01-07,SEA,1161,17,8,0,1186,0,0,0,1186
2019-01-08,MWH,18,47,7,12,84,202,0,202,286
2019-01-08,PAE,5,6,54,0,65,119,0,119,184
2019-01-08,SEA,1110,13,8,0,1131,0,0,0,1131
2019-01-09,MWH,9,38,7,30,84,288,18,306,390
2019-01-09,PAE,9,1,68,2,80,121,0,121,201
2019-01-09,SEA,1112,15,9,0,1136,0,0,0,1136
2019-01-10,MWH,0,5,1,14,20,0,0,0,20
2019-01-10,PAE,3,7,86,2,98,44,0,44,142
2019-01-10,SEA,1149,16,9,0,1174,0,0,0,1174
2019-01-11,MWH,19,28,22,6,75,22,0,22,97
2019-01-11,PAE,8,4,239,0,251,223,0,223,474
2019-01-11,SEA,1174,10,7,0,1191,0,0,0,1191
2019-01-12,MWH,8,8,23,0,39,0,0,0,39
2019-01-12,PAE,2,6,326,0,334,230,0,230,564
2019-01-12,SEA,974,6,1,0,981,0,0,0,981
2019-01-13,MWH,4,0,4,0,8,0,0,0,8
2019-01-13,PAE,2,0,291,0,293,297,0,297,590
2019-01-13,SEA,1044,5,4,0,1053,0,0,0,1053
2019-01-14,MWH,20,26,8,2,56,217,0,217,273
2019-01-14,PAE,4,9,147,0,160,229,0,229,389
2019-01-14,SEA,1139,18,12,0,1169,0,0,0,1169
2019-01-15,MWH,16,70,8,22,116,299,16,315,431
2019-01-15,PAE,7,11,181,2,201,173,14,187,388
2019-01-15,SEA,1105,17,26,0,1148,0,0,0,1148
2019-01-16,MWH,11,79,18,44,152,320,44,364,516
2019-01-16,PAE,5,7,168,1,181,211,0,211,392
